en,zh,domain,ctx_hints,keep_policy,note,layer,source
agent,智能体,llm,"[""llm"", ""prompt"", ""tool"", ""orchestrator""]",translate,能自主感知-决策-执行的AI系统；禁用代理译法,ai,agentic-cn
multi-agent,多智能体,llm,"[""collaboration"", ""orchestrator""]",translate,多个Agent分工协作架构,ai,agentic-cn
tool use,工具使用,llm,"[""function"", ""mcp"", ""api""]",translate,Agent调用外部工具的能力,ai,agentic-cn
tool call,工具调用,llm,"[""function calling"", ""mcp"", ""agent""]",translate,模型发起外部工具调用,ai,agentic-cn
function calling,函数调用,llm,"[""openai"", ""schema"", ""tool""]",translate,按结构化schema调用函数,ai,manual
prompt,提示词,llm,"[""system"", ""user"", ""engineering""]",translate,引导大模型生成输出的指令文本,ai,agentic-cn
system prompt,系统提示词,llm,"[""role"", ""instruction""]",translate,设定模型行为与约束的指令,ai,agentic-cn
prompt injection,提示词注入,security,"[""attack"", ""llm"", ""untrusted""]",translate,通过输入操纵模型执行非预期指令的攻击,ai,manual
prompt caching,提示词缓存,llm,"[""cost"", ""latency"", ""prefix""]",translate,复用前缀KV降低开销,ai,manual
hallucination,幻觉,llm,"[""model"", ""generation"", ""factual""]",translate,模型生成看似合理但事实错误的内容,ai,agentic-cn
token,词元,llm,"[""context"", ""window"", ""bpe""]",translate,模型处理文本的最小单位,ai,dongshuyan-llm
token,令牌,security,"[""auth"", ""jwt"", ""session"", ""access""]",translate,身份凭证,ai,dongshuyan-llm
context window,上下文窗口,llm,"[""token"", ""limit"", ""kv""]",translate,一次推理可利用的输入上下文容量,ai,dongshuyan-llm
context rot,上下文腐烂,llm,"[""long context"", ""degradation"", ""window""]",translate,上下文过长导致注意力质量下降,ai,manual
fine-tuning,微调,llm,"[""lora"", ""sft"", ""training""]",translate,在特定数据上继续训练改变模型行为,ai,dongshuyan-llm
lora,低秩适配,llm,"[""peft"", ""fine-tuning"", ""adapter""]",translate,参数高效微调方法,ai,dongshuyan-llm
rlhf,人类反馈强化学习,llm,"[""alignment"", ""reward"", ""preference""]",translate,用人类偏好信号优化模型行为,ai,dongshuyan-llm
embedding,嵌入向量,llm,"[""vector"", ""similarity"", ""retrieval""]",translate,文本映射到向量空间的表示,ai,dongshuyan-llm
rag,检索增强生成,llm,"[""retrieval"", ""knowledge"", ""vector""]",translate,用外部知识源增强生成准确性,ai,agentic-cn
mcp,模型上下文协议,llm,"[""tool"", ""server"", ""protocol""]",keep,Model Context Protocol，AI与工具连接的标准化协议,ai,agentic-cn
