en,zh,domain,ctx_hints,keep_policy,note,layer,source
LLM,Large Language Model,llm,[],keep,大型语言模型；以大量文本训练、能生成/理解语言的模型家族统称,ai,llm-fundamentals-2026
Model,模型,llm,[],translate,一个可被调用来生成输出的具体模型ID/版本（API里通过 model 指定）,ai,llm-fundamentals-2026
Tokenization,分词/切分,llm,[],translate,把原始文本切成 token 的过程；常见做法是子词切分,ai,llm-fundamentals-2026
BPE,Byte Pair Encoding,llm,[],keep,一种常用子词切分思想（在子词单元构建中使用）,ai,llm-fundamentals-2026
tiktoken,OpenAI 开源的快速 BPE tokenizer 库,llm,[],note,OpenAI 开源的快速 BPE tokenizer 库,ai,llm-fundamentals-2026
Transformer,主流LLM的基础架构,llm,[],translate,"主流LLM的基础架构（""Attention Is All You Need""提出）",ai,llm-fundamentals-2026
Attention,注意力/自注意力,llm,[],translate,Transformer的核心机制，用于在序列内部建立依赖关系,ai,llm-fundamentals-2026
Self-Attention,注意力/自注意力,llm,[],translate,Transformer的核心机制，用于在序列内部建立依赖关系,ai,llm-fundamentals-2026
Scaling laws,规模定律,llm,[],translate,讨论模型/数据/算力规模与性能关系的经验规律,ai,llm-fundamentals-2026
Few-shot,小样本/上下文学习,llm,[],translate,通过在提示中给少量示例，让模型在不更新参数情况下完成任务（GPT-3论文系统展示）,ai,llm-fundamentals-2026
In-context learning,小样本/上下文学习,llm,[],translate,通过在提示中给少量示例，让模型在不更新参数情况下完成任务（GPT-3论文系统展示）,ai,llm-fundamentals-2026
Pretraining,预训练,llm,[],translate,在大规模通用数据上训练语言建模能力,ai,llm-fundamentals-2026
Instruction tuning,指令微调/监督微调,llm,[],translate,"用""指令-回答""监督数据让模型更会""听指令""",ai,llm-fundamentals-2026
SFT,指令微调/监督微调,llm,[],translate,"用""指令-回答""监督数据让模型更会""听指令""",ai,llm-fundamentals-2026
Reward model,奖励模型,llm,[],translate,"把""人更喜欢哪个回答""变成可优化的打分信号的模型",ai,llm-fundamentals-2026
DPO,Direct Preference Optimization,llm,[],keep,一种直接用偏好数据优化策略的训练方法（不必显式训练奖励模型/跑RL的经典形式）,ai,llm-fundamentals-2026
Snapshot,检查点/快照,llm,[],translate,"训练过程中保存的模型参数版本；OpenAI也建议生产上固定到具体""model snapshot""以保持一致性",ai,llm-fundamentals-2026
Prompt engineering,提示工程,llm,[],translate,"写出能稳定得到目标输出的有效指令（""艺术+科学""）",ai,llm-fundamentals-2026
System message,系统消息/系统提示,llm,[],translate,用于设定助手行为、边界、格式等的高优先级指令框架,ai,llm-fundamentals-2026
Developer message,开发者消息,llm,[],translate,"OpenAI 对推理模型提示建议里提到的更符合""指令链条""的高优先级消息形态（特定模型起强调""developer messages are the new system messages""）",ai,llm-fundamentals-2026
User message,用户消息,llm,[],translate,"用户真实输入的请求内容（在""角色消息""体系里区分）",ai,llm-fundamentals-2026
Message roles,消息角色,llm,[],translate,通过不同角色/通道组织指令与对话内容，以影响模型如何遵循指令,ai,llm-fundamentals-2026
CoT,Chain-of-Thought prompting,llm,[],keep,"通过""链式思维""方式引导多步推理的提示范式",ai,llm-fundamentals-2026
Self-Consistency,自洽性,llm,[],translate,对同一问题采样多条推理路径再投票/汇总，提高CoT推理稳定性,ai,llm-fundamentals-2026
ToT,Tree of Thoughts,llm,[],keep,把推理组织成树搜索（扩展/评估/回溯），而不是单一路径,ai,llm-fundamentals-2026
ReAct,Reasoning + Acting,llm,[],keep,"把""推理""和""行动（如调用工具/检索）""交织在一起的范式",ai,llm-fundamentals-2026
Reflexion,反思式迭代,llm,[],translate,"让代理从失败/反馈中生成""语言形式的反思""来改进后续行动",ai,llm-fundamentals-2026
Thinking,内部思考,llm,[],translate,"OpenAI文档提到""推理模型会生成内部chain-of-thought""；同时也强调不一定需要用户显式要求""step by step""",ai,llm-fundamentals-2026
internal chain-of-thought,内部思考,llm,[],translate,"OpenAI文档提到""推理模型会生成内部chain-of-thought""；同时也强调不一定需要用户显式要求""step by step""",ai,llm-fundamentals-2026
Embeddings-based search,基于嵌入的语义搜索,llm,[],translate,把查询与文档都变成向量，用相似度（如余弦相似度）找最相关内容,ai,llm-fundamentals-2026
Cosine similarity,余弦相似度,llm,[],translate,衡量向量相似度的常用指标；OpenAI embeddings 示例使用它做检索排序,ai,llm-fundamentals-2026
Decoding,解码/生成策略,llm,[],translate,把模型给出的分布（logits→概率）转成具体输出token序列的策略总称,ai,llm-fundamentals-2026
Logits,对数分数,llm,[],translate,"采样前的未归一化分数；HF文档在""next_token_logits""语境中讨论其后处理",ai,llm-fundamentals-2026
Top-k sampling,只保留概率最高的K个候选token再采样,llm,[],note,只保留概率最高的K个候选token再采样,ai,llm-fundamentals-2026
Top-p,核采样,llm,[],translate,保留累计概率达到阈值p的最小候选集合再采样,ai,llm-fundamentals-2026
Nucleus sampling,核采样,llm,[],translate,保留累计概率达到阈值p的最小候选集合再采样,ai,llm-fundamentals-2026
Greedy decoding,贪婪解码,llm,[],translate,每一步都选概率最高的token（HF中 do_sample=False 对应不采样的路径）,ai,llm-fundamentals-2026
Beam search,束搜索,llm,[],translate,维护多个候选序列并扩展比较的搜索式解码（HF中 num_beams 等参数）,ai,llm-fundamentals-2026
use_cache,键值缓存,llm,[],translate,复用过去注意力的K/V来加速逐token解码,ai,llm-fundamentals-2026
KV cache,键值缓存,llm,[],translate,复用过去注意力的K/V来加速逐token解码,ai,llm-fundamentals-2026
max_completion_tokens,最大生成token数上限,llm,[],translate,"OpenAI API参数，包含""可见输出token + reasoning tokens""",ai,llm-fundamentals-2026
stop_strings,停止串,llm,[],translate,一旦生成到指定字符串就终止,ai,llm-fundamentals-2026
logprobs,输出token对数概率,llm,[],translate,OpenAI API可选择返回输出token的log probabilities,ai,llm-fundamentals-2026
logit_bias,logit偏置,llm,[],translate,通过对特定token的logits加偏置来提高/降低其出现概率,ai,llm-fundamentals-2026
Tool,工具,llm,[],translate,"模型可调用的外部能力（函数/检索/计算等），在API中以""tools""等机制接入",ai,llm-fundamentals-2026
tool_choice,工具选择控制,llm,[],translate,OpenAI 文档中提到取代旧 function_call 的控制方式（强制/自动/不调用等语义）,ai,llm-fundamentals-2026
Parallel tool calls,并行工具调用,llm,[],translate,OpenAI API参数 parallel_tool_calls 用于启用并行函数调用,ai,llm-fundamentals-2026
Structured Outputs,结构化输出,llm,[],translate,"保证模型输出严格符合给定JSON Schema（比""只保证是JSON""的JSON mode更强）",ai,llm-fundamentals-2026
JSON Schema,JSON模式约束,llm,[],translate,Structured Outputs 的约束语言基础,ai,llm-fundamentals-2026
JSON mode,JSON模式,llm,[],translate,保证输出是合法JSON，但不保证满足特定schema,ai,llm-fundamentals-2026
MAS,Multi-Agent System,llm,[],keep,多智能体系统；多个代理通过分工/对话协作完成任务,ai,llm-fundamentals-2026
MCP Client,客户端/服务器,llm,[],translate,MCP架构里，client连接server，server暴露数据源/工具,ai,llm-fundamentals-2026
Skills,技能,llm,[],translate,"常指""可复用的工具组合/子流程封装""",ai,llm-fundamentals-2026
Prompt Injection,提示注入,llm,[],translate,当用户输入以非预期方式改变模型行为/输出，可能导致泄露信息、越权调用工具等,ai,llm-fundamentals-2026
Direct vs Indirect Prompt Injection,直接/间接注入,llm,[],translate,OWASP区分：直接来自用户输入；间接来自外部内容（网页/文件）被模型读取后触发,ai,llm-fundamentals-2026
Jailbreaking,越狱,llm,[],translate,OWASP指出它是 prompt injection 的一种，使模型无视安全协议,ai,llm-fundamentals-2026
Evals,评测/基准测试,llm,[],translate,OpenAI建议构建 evals 来监控提示随迭代或模型升级的行为变化,ai,llm-fundamentals-2026
Benchmarking,评测/基准测试,llm,[],translate,OpenAI建议构建 evals 来监控提示随迭代或模型升级的行为变化,ai,llm-fundamentals-2026
Explicit refusals,可检测拒答,llm,[],translate,"Structured Outputs 的一个收益是""安全拒答可被程序化检测""",ai,llm-fundamentals-2026
Safety identifier,安全标识,llm,[],translate,OpenAI API参数，用于帮助检测潜在违规用户（建议哈希化避免发送识别信息）,ai,llm-fundamentals-2026
